WKN,Name,Geld,Brief
A2N94F,NERDS ON SITE (SUB.VTG.),"0,0290 €","0,0480 €"
A3C6XW,"NERDWALLET INC. A -,0001","10,6000 €","10,7000 €"
A2QP3D,NERVGEN PHARMA CORP.,"1,6100 €","1,8700 €"
A0D9U6,NESTE CORP.,"14,7800 €","14,9400 €"
A0Q4DC,NESTLE N,"89,8400 €","90,5800 €"
883723,NESTLE NAM. ADR/1 SF 1,"90,0000 €","90,6000 €"
A2BPK3,NET DIGITAL AG INH O.N.,"3,3400 €","3,5800 €"
A0NHKR,NETAPP INC.,"111,1000 €","111,4600 €"
A2JM5M,NETCOMPANY GROUP      DK1,"41,3400 €","41,4800 €"
A0M620,NETDRAGON WEBS.HLDG.DL-01,"1,2080 €","1,2680 €"
A2P5NF,NETEASE INC.    O.N.,"14,8000 €","15,2000 €"
501822,NETEASE INC. ADR/5,"74,5000 €","75,0000 €"
552484,"NETFLIX INC.      DL-,001","694,2000 €","695,6000 €"
A1MME7,NETFONDS AG  VNA O.N.,"39,4000 €","39,8000 €"
578078,"NETGEAR INC.      DL-,001","18,7000 €","18,9000 €"
927122,NETGEM S.A.,"0,9960 €","1,0950 €"
A0LFEH,"NETLIST INC.     DL -,001","0,8180 €","0,8420 €"
A40H8G,"NETMEDIA GR.SA INH.EO 3,-",-,-
925244,NETSCOUT SYSTEMS INC.,"19,7000 €","19,8000 €"
A2QBFN,"NETSTREIT CORP. DL-,01","14,4000 €","14,8000 €"
A3CRX1,NETUM GROUP OYJ,-,-
A3CRX1,NETUM GROUP OYJ,"2,7600 €","2,8400 €"
924415,"NETWORK-1 TECH.INC.DL-,01","1,2100 €","1,2700 €"
A40STF,NEURIZON THERAPEUTICS,"0,1150 €","0,1350 €"
900964,NEUROCRINE BIOSCIENCES INC.,"107,5000 €","107,7500 €"
938282,"NEURONES SA  NOM. EO 0,40","46,5000 €","48,3500 €"
A2JPMY,"NEURONETICS INC.   DL-,01","0,9050 €","0,9530 €"
A2PLD8,NEUROSEARCH AS NAM. DK 20,"39,9000 €","40,6500 €"
A12GAQ,NEUTRISCI INTL,"0,0010 €","0,0070 €"
A3C4FZ,NEVADA LITHIUM RESOURCES,"0,1360 €","0,1440 €"
A3DUP8,NEVADA SUNRISE METALS,"0,0070 €","0,0210 €"
A14P3D,NEVADA ZINC CORP.,"0,0010 €","0,0080 €"
A12EPL,NEVRO CORP.,"4,4800 €","4,6200 €"
A40MGB,NEW AGE METALS,"0,0700 €","0,1000 €"
A1JQV6,NEW CHINA LIFE INSURANCE CO.,"3,0200 €","3,2200 €"
A2PDNK,NEW FORTRESS ENERGY CL.A,"7,8300 €","7,8940 €"
A2QBFY,NEW FOUND GOLD CORP.,"2,0900 €","2,1200 €"
A0ERPH,NEW GOLD INC.,"2,6350 €","2,6810 €"
911204,NEW HOPE CORP. LTD,"2,9650 €","3,0910 €"
A2QN65,"NEW HORIZ.HEAL. DL-,00005","1,6700 €","1,7000 €"
873388,"NEW JERSEY RES     DL2,50","43,0000 €","43,2000 €"
A2PVRP,"NEW MEDIA INV.GRP. DL-,01","5,3500 €","5,4000 €"
A1JJ6G,"NEW MOUNTAIN FINAN.DL-,01","10,4900 €","10,6000 €"
A3DHHX,NEW ORIENT.EDU.+TE.ADR/10,"58,5000 €","60,0000 €"
A2QQTB,NEW ORIENTAL EDU.+TECH.G.,"5,9000 €","6,0000 €"
A2QJD9,NEW PACIFIC METALS,"1,6800 €","1,8500 €"
A3EHNY,NEW WAVE GROUP AB B O.N.,"9,9350 €","10,1700 €"
A3EG39,NEW WAVE HLDGS CORP. O.N.,"0,0020 €","0,0170 €"
A0MV9X,"NEW WLD DEP.ST.CN. HD-,10","0,0200 €","0,0320 €"
A2P7NH,NEW WORLD DEV.CO.(B.L.),"0,9600 €","1,0000 €"
A2JHXL,NEW WORLD RESOURCES LTD.,"0,0100 €","0,0200 €"
A3EKLZ,NEW WORLD SOLUTIONS INC.,"0,0141 €","0,0225 €"
A3D7BQ,"NEW YORK MTG TR.PS DL-,02","4,8200 €","4,8800 €"
A1W93P,"NEWAG SA A,B,C    ZY -,25","7,9200 €","8,7600 €"
A3DUAC,"NEWAMSTERDAM PHA. EO-,12","17,5000 €","17,6000 €"
A2QATA,NEWCORE GOLD LTD,"0,2320 €","0,2500 €"
A3CQVK,"NEWEGG COMMER. DL-,021848","0,6120 €","0,6260 €"
860036,NEWELL BRANDS INC.   DL 1,"8,8100 €","8,8560 €"
A3C4PV,NEWFOUNDLAND DISCOV.CORP.,"0,0020 €","0,0080 €"
A2PSR9,NEWLAT FOOD S.P.A,"11,5000 €","11,6200 €"
A1XFBG,NEWLOX GOLD VENTURES,"0,0610 €","0,0720 €"
A2H62G,"NEWMARK GRP CL.A DL-,01","13,9000 €","14,3000 €"
A0B5U3,NEWMARKET CORP.,"492,0000 €","500,0000 €"
853823,"NEWMONT CORP.     DL 1,60","44,7800 €","44,8200 €"
A3EWLY,NEWMONT CORP.CDI,"44,4000 €","45,2000 €"
854501,"NEWPARK RESOURCES  DL-,01","6,3000 €","6,3500 €"
A2QCW3,NEWPEAK METALS LTD,"0,0080 €","0,0125 €"
A0LF18,"NEWRON PHARMACEUT. EO-,20","9,3200 €","9,4100 €"
A1W048,NEWS CORP.,"26,0000 €","26,2000 €"
A1W4X0,NEWS CORP. (NEW),"25,4000 €","26,8000 €"
A1W03Z,"NEWS CORP. A       DL-,01","24,4000 €","24,6000 €"
A12C7Z,"NEWTEK BUSINE.SVCS DL-,02","12,3300 €","12,4300 €"
A1JG0Q,NEWTON RESOURCES LTD,"0,0280 €","0,0520 €"
676168,NEXANS INH.         EO 1,"138,7000 €","139,3000 €"
A2QLF8,NEXE INNOVATIONS INC.,"0,2880 €","0,3020 €"
A1WZPW,NEXGEN ENERGY LTD,"7,0380 €","7,1180 €"
A40EWF,NEXGOLD MINING CORP.,"0,5400 €","0,5700 €"
A2PF9H,NEXI S.P.A.,"5,9200 €","5,9900 €"
A3EUTV,"NEXIMMUNE INC.   DL-,0001","3,0200 €","3,1200 €"
A0DK2J,NEXITY               EO 5,"14,2700 €","14,3300 €"
A1JPFB,NEXON CO. LTD,"15,7000 €","16,3000 €"
A2AEVZ,NEXOPTIC TECHNOLOGY CORP.,"0,0130 €","0,0230 €"
A14QBV,"NEXPOINT RESIDENT. DL-,01","39,4000 €","39,8000 €"
622325,"NEXSTAR MEDIA GR.A DL-,01","160,7000 €","161,8500 €"
A3CMUG,NEXSTIM OYJ,"5,1200 €","5,4400 €"
779551,NEXT,"121,5000 €","122,5000 €"
A2PHHE,"NEXTCURE INC.     DL-,001","1,2600 €","1,3200 €"
A2DVCF,"NEXTDECADE CORP.   DL-,01","5,3920 €","5,5100 €"
A3EWHW,NEXTECH3D.AI.CORP.   O.N.,"0,0350 €","0,0490 €"
A0JKUJ,"NEXTEDIA S.A.     EO -,10","0,4530 €","0,5020 €"
A1W6CU,NEXTEER AUTOMOTIVE,"0,3280 €","0,3900 €"
936957,NEXTENSA SCA,"42,1000 €","43,1000 €"
A1CZ4H,"NEXTERA ENERGY INC.DL-,01","76,8600 €","76,9400 €"
A3D48V,NEXTGEN FOOD ROBOTICS,"0,0290 €","0,0550 €"
A2PGAF,NEXTLEAF SOLUTIONS,"0,0370 €","0,0600 €"
A3C8W0,"NEXTNAV INC.     DL-,0001","10,5000 €","10,8000 €"
A3D38Q,"NEXTPLAY TECH.  DL-,00001","0,8600 €","1,1800 €"
A3CR9Z,"NEXTSOURCE MAT.   DL-,001","0,3500 €","0,4560 €"
522090,NEXUS AG O.N.,"49,4000 €","49,9500 €"
A3EFBM,NEXUS GOLD CORP.  NEW,"0,0040 €","0,0130 €"
